Subject,Country,Year,Unit,Power,Value
Nitrogene Oxides Emmissions,Australia,2011,Tonnes,Thousands,2460.238000
Nitrogene Oxides Emmissions,Australia,2012,Tonnes,Thousands,2646.795000
Nitrogene Oxides Emmissions,Australia,2013,Tonnes,Thousands,2741.858000
Nitrogene Oxides Emmissions,Australia,2014,Tonnes,Thousands,2780.269000
Nitrogene Oxides Emmissions,Australia,2015,Tonnes,Thousands,2867.080000
 General practitioners as a percentage of total physicians,Australia,2014,Percentage,Units,45.010000
 Specialists as a percentage of total physicians,Australia,2014,Percentage,Units,47.310000
Standard error on the reading scale in PISA 2012: men,Australia,2012,Standard-error,Units,2.293139
Teachers'starting salary,Australia,2013,US Dollar,Units,39176.805000
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,Australia,2011,Percentage points,Units,-10.805182
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,Australia,2012,Percentage points,Units,-14.833195
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,Australia,2013,Percentage points,Units,-9.912189
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,Australia,2014,Percentage points,Units,-13.282134
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,Australia,2015,Percentage points,Units,-16.489749
Levels of GDP per capita and labour productivity - Effect of labour utilisation,Australia,2011,Percentage points,Units,15.063404
Levels of GDP per capita and labour productivity - Effect of labour utilisation,Australia,2012,Percentage points,Units,12.032785
Levels of GDP per capita and labour productivity - Effect of labour utilisation,Australia,2013,Percentage points,Units,10.350473
Levels of GDP per capita and labour productivity - Effect of labour utilisation,Australia,2014,Percentage points,Units,9.359528
Levels of GDP per capita and labour productivity - Effect of labour utilisation,Australia,2015,Percentage points,Units,6.519676
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,Australia,2011,Percentage points,Units,-22.482027
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,Australia,2012,Percentage points,Units,-23.980462
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,Australia,2013,Percentage points,Units,-18.362098
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,Australia,2014,Percentage points,Units,-20.703877
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,Australia,2015,Percentage points,Units,-21.601103
Mean scores on the reading scale in PISA 2012: women,Australia,2012,Average score,Units,529.542280
Teachersâ€™salary after 10 years of experience,Australia,2013,US Dollar,Units,56334.507000
 Medical graduates,Australia,2011,Per 100 000 inhabitants,Units,13.480000
 Medical graduates,Australia,2012,Per 100 000 inhabitants,Units,13.980000
 Medical graduates,Australia,2013,Per 100 000 inhabitants,Units,15.440000
 Medical graduates,Australia,2014,Per 100 000 inhabitants,Units,15.300000
 Medical graduates,Australia,2015,Per 100 000 inhabitants,Units,15.730000
 Nursing graduates,Australia,2011,Per 100 000 inhabitants,Units,71.640000
 Nursing graduates,Australia,2012,Per 100 000 inhabitants,Units,71.650000
 Nursing graduates,Australia,2013,Per 100 000 inhabitants,Units,74.760000
 Nursing graduates,Australia,2014,Per 100 000 inhabitants,Units,75.750000
 Nursing graduates,Australia,2015,Per 100 000 inhabitants,Units,76.690000
Annual expenditure per student in all tertiary education,Australia,2012,US Dollar,Units,16858.510000
Elderly dependency rate in urban regions,Australia,2014,Percentage,Units,20.200000
Elderly dependency rate,Australia,2014,Percentage,Units,22.100000
Elderly dependency rate in rural regions,Australia,2014,Percentage,Units,28.200000
Population aged 25-34 in upper secondary or post-secondary non-tertiary,Australia,2014,Percentage,Units,48.131390
Population aged 25-64 below upper secondary,Australia,2014,Percentage,Units,22.895836
Annual expenditure per student in all tertiary education excluding R&D activities,Australia,2012,US Dollar,Units,10455.076000
Teachersâ€™salary after 15 years of experience,Australia,2013,US Dollar,Units,56334.507000
Standard error on the reading scale in PISA 2012: women,Australia,2012,Standard-error,Units,1.967404
Mean scores on the science scale in PISA 2012: men,Australia,2012,Average score,Units,523.728210
Teachersâ€™salary at top of scale,Australia,2013,US Dollar,Units,56520.872000
Change in expenditure in tertiary education,Australia,2012,Index,Units,132.588120
Population aged 25-64 below upper secondary,Australia,2014,Percentage,Units,35.202309
Population aged 25-64 in upper secondary or post-secondary non-tertiary,Australia,2014,Percentage,Units,41.901855
Change in the number of students in tertiary education,Australia,2012,Index,Units,132.838340
Standard error on the science scale in PISA 2012: men,Australia,2012,Standard-error,Units,2.508215
Mean scores on the science scale in PISA 2012: women,Australia,2012,Average score,Units,519.124470
Permanent inflows by category of entry: total,Australia,2011,Persons,Thousands,219478.000000
Permanent inflows by category of entry: total,Australia,2012,Persons,Thousands,245080.000000
Permanent inflows by category of entry: total,Australia,2013,Persons,Thousands,254411.000000
Permanent inflows by category of entry: total,Australia,2014,Persons,Thousands,231042.000000
Permanent inflows by category of entry: total,Australia,2015,Persons,Thousands,226218.000000
Public expenditure per student in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,Australia,2012,Percentage,Units,82.405714
Standard error on the science scale in PISA 2012: women,Australia,2012,Standard-error,Units,2.097372
Mean scores on the mathematics scale in PISA 2012: men,Australia,2012,Average score,Units,510.114850
Standard error on the mathematics scale in PISA 2012: men,Australia,2012,Standard-error,Units,2.405360
Population levels,Australia,2011,Inhabitants,Thousands,22340.000000
Population levels,Australia,2012,Inhabitants,Thousands,22728.000000
Population levels,Australia,2013,Inhabitants,Thousands,23126.000000
Population levels,Australia,2014,Inhabitants,Thousands,23491.000000
Standard error on the mathematics scale in PISA 2012: women,Australia,2012,Average score,Units,2.040775
Foreign-born population,Australia,2011,Percentage,Units,26.940000
Foreign-born population,Australia,2012,Percentage,Units,27.327000
Foreign-born population,Australia,2013,Percentage,Units,27.713000
Permanent inflows by category of entry: accompanying family of workers,Australia,2011,Persons,Thousands,57544.850000
Permanent inflows by category of entry: accompanying family of workers,Australia,2012,Persons,Thousands,66021.375000
Permanent inflows by category of entry: accompanying family of workers,Australia,2013,Persons,Thousands,65905.203000
Permanent inflows by category of entry: accompanying family of workers,Australia,2014,Persons,Thousands,66974.550000
Permanent inflows by category of entry: accompanying family of workers,Australia,2015,Persons,Thousands,68231.316000
Permanent inflows by category of entry: humanitarian,Australia,2011,Persons,Thousands,13976.000000
Permanent inflows by category of entry: humanitarian,Australia,2012,Persons,Thousands,13759.000000
Permanent inflows by category of entry: humanitarian,Australia,2013,Persons,Thousands,20019.000000
Permanent inflows by category of entry: humanitarian,Australia,2014,Persons,Thousands,13768.000000
Permanent inflows by category of entry: humanitarian,Australia,2015,Persons,Thousands,13756.000000
Permanent inflows by category of entry: family,Australia,2011,Persons,Thousands,54708.000000
Permanent inflows by category of entry: family,Australia,2012,Persons,Thousands,58604.000000
Permanent inflows by category of entry: family,Australia,2013,Persons,Thousands,60185.000000
Permanent inflows by category of entry: family,Australia,2014,Persons,Thousands,61112.000000
Permanent inflows by category of entry: family,Australia,2015,Persons,Thousands,61085.000000
Permanent inflows by category of entry: free movements,Australia,2011,Persons,Thousands,34567.000000
Permanent inflows by category of entry: free movements,Australia,2012,Persons,Thousands,44304.000000
Permanent inflows by category of entry: free movements,Australia,2013,Persons,Thousands,41230.000000
Permanent inflows by category of entry: free movements,Australia,2014,Persons,Thousands,27274.000000
Permanent inflows by category of entry: free movements,Australia,2015,Persons,Thousands,23365.000000
Permanent inflows by category of entry: work,Australia,2011,Persons,Thousands,56180.150000
Permanent inflows by category of entry: work,Australia,2012,Persons,Thousands,59733.625000
Permanent inflows by category of entry: work,Australia,2013,Persons,Thousands,63067.797000
Permanent inflows by category of entry: work,Australia,2014,Persons,Thousands,61575.450000
Permanent inflows by category of entry: work,Australia,2015,Persons,Thousands,59542.684000
Permanent inflows by category of entry: Other,Australia,2011,Persons,Thousands,2502.000000
Permanent inflows by category of entry: Other,Australia,2012,Persons,Thousands,2658.000000
Permanent inflows by category of entry: Other,Australia,2013,Persons,Thousands,4004.000000
Permanent inflows by category of entry: Other,Australia,2014,Persons,Thousands,338.000000
Permanent inflows by category of entry: Other,Australia,2015,Persons,Thousands,238.000000
Employment rates of native-born population by educational attainment: Total,Australia,2011,Percentage,Units,77.400000
Employment rates of native-born population by educational attainment: Total,Australia,2012,Percentage,Units,77.100000
Employment rates of native-born population by educational attainment: Total,Australia,2013,Percentage,Units,77.000000
Employment rates of native-born population by educational attainment: Total,Australia,2014,Percentage,Units,76.500000
Employment rates of native-born population by educational attainment: Total,Australia,2015,Percentage,Units,77.200000
Employment rates of foreign-born population by educational attainment: Total,Australia,2011,Percentage,Units,73.100000
Employment rates of foreign-born population by educational attainment: Total,Australia,2012,Percentage,Units,72.900000
Employment rates of foreign-born population by educational attainment: Total,Australia,2013,Percentage,Units,72.700000
Employment rates of foreign-born population by educational attainment: Total,Australia,2014,Percentage,Units,72.700000
Employment rates of foreign-born population by educational attainment: Total,Australia,2015,Percentage,Units,73.000000
Unemployment rates of native-born populations: Men,Australia,2012,Percentage,Units,5.440000
Unemployment rates of native-born populations: Men,Australia,2014,Percentage,Units,6.300000
Unemployment rates of foreign-born populations: Men,Australia,2012,Percentage,Units,4.903000
Unemployment rates of foreign-born populations: Men,Australia,2014,Percentage,Units,5.600000
Unemployment rates of native-born populations: Women,Australia,2012,Percentage,Units,5.226000
Unemployment rates of native-born populations: Women,Australia,2014,Percentage,Units,6.100000
Unemployment rates of foreign-born populations: Women,Australia,2012,Percentage,Units,5.996000
Unemployment rates of foreign-born populations: Women,Australia,2014,Percentage,Units,6.600000
Unemployment rates of native-born populations: Total,Australia,2012,Percentage,Units,5.340000
Unemployment rates of native-born populations: Total,Australia,2014,Percentage,Units,6.200000
Unemployment rates of foreign-born populations: Total,Australia,2012,Percentage,Units,5.392000
Unemployment rates of foreign-born populations: Total,Australia,2014,Percentage,Units,6.100000
Real GDP growth,Australia,2011,Growth rate,Units,3.900900
Real GDP growth,Australia,2012,Growth rate,Units,2.615723
Real GDP growth,Australia,2013,Growth rate,Units,2.568707
Real GDP growth,Australia,2014,Growth rate,Units,2.336076
Real GDP growth,Australia,2015,Growth rate,Units,2.846755
Gross fixed capital formation,Australia,2011,Growth rate,Units,11.536487
Gross fixed capital formation,Australia,2012,Growth rate,Units,3.003741
Gross fixed capital formation,Australia,2013,Growth rate,Units,-1.761188
Gross fixed capital formation,Australia,2014,Growth rate,Units,-3.163672
Gross fixed capital formation,Australia,2015,Growth rate,Units,-3.436950
Value added in agriculture; hunting and forestry; fishing,Australia,2011,Percentage,Units,2.403274
Value added in agriculture; hunting and forestry; fishing,Australia,2012,Percentage,Units,2.431252
Value added in agriculture; hunting and forestry; fishing,Australia,2013,Percentage,Units,2.370624
Value added in agriculture; hunting and forestry; fishing,Australia,2014,Percentage,Units,2.543235
Value added in agriculture; hunting and forestry; fishing,Australia,2015,Percentage,Units,2.567724
Value added in industry; including energy,Australia,2011,Percentage,Units,19.731673
Value added in industry; including energy,Australia,2012,Percentage,Units,18.238799
Value added in industry; including energy,Australia,2013,Percentage,Units,18.620907
Value added in industry; including energy,Australia,2014,Percentage,Units,16.603504
Value added in industry; including energy,Australia,2015,Percentage,Units,15.485994
Value added in construction,Australia,2011,Percentage,Units,8.283900
Value added in construction,Australia,2012,Percentage,Units,8.568998
Value added in construction,Australia,2013,Percentage,Units,8.671475
Value added in construction,Australia,2014,Percentage,Units,8.724734
Value added in construction,Australia,2015,Percentage,Units,8.529037
Value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2011,Percentage,Units,16.857894
Value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2012,Percentage,Units,17.048832
Value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2013,Percentage,Units,16.477931
Value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2014,Percentage,Units,16.652657
Value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2015,Percentage,Units,16.850444
Value added in Information and communication,Australia,2011,Percentage,Units,2.995048
Value added in Information and communication,Australia,2012,Percentage,Units,2.940891
Value added in Information and communication,Australia,2013,Percentage,Units,2.878982
Value added in Information and communication,Australia,2014,Percentage,Units,2.885592
Value added in Information and communication,Australia,2015,Percentage,Units,2.841740
Value added in financial and insurance activities,Australia,2011,Percentage,Units,8.342829
Value added in financial and insurance activities,Australia,2012,Percentage,Units,8.526291
Value added in financial and insurance activities,Australia,2013,Percentage,Units,8.597533
Value added in financial and insurance activities,Australia,2014,Percentage,Units,9.133267
Value added in financial and insurance activities,Australia,2015,Percentage,Units,9.494012
Value added in real estate activities,Australia,2011,Percentage,Units,11.321172
Value added in real estate activities,Australia,2012,Percentage,Units,11.783214
Value added in real estate activities,Australia,2013,Percentage,Units,11.958576
Value added in real estate activities,Australia,2014,Percentage,Units,12.217319
Value added in real estate activities,Australia,2015,Percentage,Units,12.486639
Real value added in agriculture; hunting and forestry; fishing,Australia,2011,Growth rate,Units,0.973611
Real value added in agriculture; hunting and forestry; fishing,Australia,2012,Growth rate,Units,-0.727999
Real value added in agriculture; hunting and forestry; fishing,Australia,2013,Growth rate,Units,1.144353
Real value added in agriculture; hunting and forestry; fishing,Australia,2014,Growth rate,Units,1.426555
Real value added in agriculture; hunting and forestry; fishing,Australia,2015,Growth rate,Units,-7.901229
Real value added in industry; including energy,Australia,2011,Growth rate,Units,3.894942
Real value added in industry; including energy,Australia,2012,Growth rate,Units,3.431126
Real value added in industry; including energy,Australia,2013,Growth rate,Units,3.915501
Real value added in industry; including energy,Australia,2014,Growth rate,Units,3.278682
Real value added in industry; including energy,Australia,2015,Growth rate,Units,2.069241
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2011,Growth rate,Units,4.377414
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2012,Growth rate,Units,2.943545
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2013,Growth rate,Units,0.203295
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2014,Growth rate,Units,2.429848
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Australia,2015,Growth rate,Units,3.023255
Real value added in Information and communication,Australia,2011,Growth rate,Units,1.184787
Real value added in Information and communication,Australia,2012,Growth rate,Units,-0.138586
Real value added in Information and communication,Australia,2013,Growth rate,Units,4.098221
Real value added in Information and communication,Australia,2014,Growth rate,Units,7.218066
Real value added in Information and communication,Australia,2015,Growth rate,Units,7.295473
Real value added in financial and insurance activities,Australia,2011,Growth rate,Units,5.078509
Real value added in financial and insurance activities,Australia,2012,Growth rate,Units,3.264966
Real value added in financial and insurance activities,Australia,2013,Growth rate,Units,2.394495
Real value added in financial and insurance activities,Australia,2014,Growth rate,Units,4.774282
Real value added in financial and insurance activities,Australia,2015,Growth rate,Units,4.942306
Real value added in real estate activities,Australia,2011,Growth rate,Units,2.732805
Real value added in real estate activities,Australia,2012,Growth rate,Units,2.741773
Real value added in real estate activities,Australia,2013,Growth rate,Units,2.467173
Real value added in real estate activities,Australia,2014,Growth rate,Units,1.436882
Real value added in real estate activities,Australia,2015,Growth rate,Units,3.625714
Number of employees in manufacturing in enterprises with 20-49 persons engaged,Australia,2012,Percentage,Units,31.653240
Number of employees in manufacturing in enterprises with 250 or more persons engaged,Australia,2012,Percentage,Units,38.150728
Number of enterprises in manufacturing with less than 10 persons engaged,Australia,2012,Percentage,Units,94.019541
Number of enterprises in manufacturing with 250 or more persons engaged,Australia,2012,Percentage,Units,0.497021
Gross national income per capita,Australia,2011,US Dollar,Units,43068.356000
Gross national income per capita,Australia,2012,US Dollar,Units,42787.761000
Gross national income per capita,Australia,2013,US Dollar,Units,46511.409000
Gross national income per capita,Australia,2014,US Dollar,Units,46664.711000
Gross national income per capita,Australia,2015,US Dollar,Units,46213.001000
Real household disposable income,Australia,2011,Growth rate,Units,3.521032
Real household disposable income,Australia,2012,Growth rate,Units,0.278892
Real household disposable income,Australia,2013,Growth rate,Units,2.859665
Real household disposable income,Australia,2014,Growth rate,Units,2.442418
Real household disposable income,Australia,2015,Growth rate,Units,0.588980
Household net saving rates,Australia,2011,Percentage,Units,8.837154
Household net saving rates,Australia,2012,Percentage,Units,7.482216
Household net saving rates,Australia,2013,Percentage,Units,7.861054
Household net saving rates,Australia,2014,Percentage,Units,7.947065
Household net saving rates,Australia,2015,Percentage,Units,5.966687
Income inequality: Gini (at disposable income; post taxes and transfers),Australia,2012,0-1 scale,Units,0.326000
Income inequality: Gini (at disposable income; post taxes and transfers),Australia,2014,0-1 scale,Units,0.337000
Income inequality: Palma (S90/S40 disposable income decile share),Australia,2012,S90/S40 decile share,Units,1.200000
Income inequality: S80/S20 disposable income quintile share,Australia,2012,S80/S20 quintile share,Units,5.500000
Income inequality: S80/S20 disposable income quintile share,Australia,2014,S80/S20 quintile share,Units,5.700000
Income inequality: P90/P10 disposable income decile ratio,Australia,2012,Interdecile ratio P90/P10,Units,4.400000
Income inequality: P90/P10 disposable income decile ratio,Australia,2014,Interdecile ratio P90/P10,Units,4.300000
Income inequality: P90/P50 disposable income decile ratio ,Australia,2012,Interdecile ratio P90/P50,Units,2.000000
Income inequality: P90/P50 disposable income decile ratio ,Australia,2014,Interdecile ratio P90/P50,Units,2.000000
Financial asset of households: Currency and deposits,Australia,2011,Percentage,Units,23.126650
Financial asset of households: Currency and deposits,Australia,2012,Percentage,Units,22.034360
Financial asset of households: Currency and deposits,Australia,2013,Percentage,Units,22.080170
Financial asset of households: Currency and deposits,Australia,2014,Percentage,Units,22.150610
Financial asset of households: Currency and deposits,Australia,2015,Percentage,Units,22.387870
Financial asset of households: Debt securities,Australia,2011,Percentage,Units,0.265112
Financial asset of households: Debt securities,Australia,2012,Percentage,Units,0.210631
Financial asset of households: Debt securities,Australia,2013,Percentage,Units,0.174131
Financial asset of households: Debt securities,Australia,2014,Percentage,Units,0.206605
Financial asset of households: Debt securities,Australia,2015,Percentage,Units,0.180961
Financial asset of households: equity,Australia,2011,Percentage,Units,19.757180
Financial asset of households: equity,Australia,2012,Percentage,Units,18.587090
Financial asset of households: equity,Australia,2013,Percentage,Units,18.412060
Financial asset of households: equity,Australia,2014,Percentage,Units,18.747250
Financial asset of households: equity,Australia,2015,Percentage,Units,18.971530
Financial asset of households:  investment funds shares,Australia,2011,Percentage,Units,0.000000
Financial asset of households:  investment funds shares,Australia,2012,Percentage,Units,0.000000
Financial asset of households:  investment funds shares,Australia,2013,Percentage,Units,0.000000
Financial asset of households:  investment funds shares,Australia,2014,Percentage,Units,0.000000
Financial asset of households:  investment funds shares,Australia,2015,Percentage,Units,0.000000
Financial asset of households: Life insurance and annuities,Australia,2011,Percentage,Units,0.000000
Financial asset of households: Life insurance and annuities,Australia,2012,Percentage,Units,0.000000
Financial asset of households: Life insurance and annuities,Australia,2013,Percentage,Units,0.000000
Financial asset of households: Life insurance and annuities,Australia,2014,Percentage,Units,0.000000
Financial asset of households: Life insurance and annuities,Australia,2015,Percentage,Units,0.000000
Financial asset of households: Pension funds,Australia,2011,Percentage,Units,52.031770
Financial asset of households: Pension funds,Australia,2012,Percentage,Units,54.906410
Financial asset of households: Pension funds,Australia,2013,Percentage,Units,55.256330
Financial asset of households: Pension funds,Australia,2014,Percentage,Units,55.278890
Financial asset of households: Pension funds,Australia,2015,Percentage,Units,55.276850
Households debt,Australia,2011,Percentage,Units,187.638300
Households debt,Australia,2012,Percentage,Units,188.641400
Households debt,Australia,2013,Percentage,Units,189.790100
Households debt,Australia,2014,Percentage,Units,193.383400
Households debt,Australia,2015,Percentage,Units,202.231200
Non-financial assets of households: dwellings,Australia,2011,US Dollar,Units,43605.906000
Non-financial assets of households: dwellings,Australia,2012,US Dollar,Units,43641.920000
Non-financial assets of households: dwellings,Australia,2013,US Dollar,Units,48044.161000
Non-financial assets of households: dwellings,Australia,2014,US Dollar,Units,49797.339000
Non-financial assets of households: dwellings,Australia,2015,US Dollar,Units,50902.026000
Non-financial assets of households: lands,Australia,2011,US Dollar,Units,89344.709000
Non-financial assets of households: lands,Australia,2012,US Dollar,Units,90911.147000
Non-financial assets of households: lands,Australia,2013,US Dollar,Units,105499.960000
Non-financial assets of households: lands,Australia,2014,US Dollar,Units,118539.960000
Non-financial assets of households: lands,Australia,2015,US Dollar,Units,122170.560000
Non-financial assets of households: other,Australia,2011,US Dollar,Units,15967.108000
Non-financial assets of households: other,Australia,2012,US Dollar,Units,15794.491000
Non-financial assets of households: other,Australia,2013,US Dollar,Units,17359.240000
Non-financial assets of households: other,Australia,2014,US Dollar,Units,18036.139000
Non-financial assets of households: other,Australia,2015,US Dollar,Units,17916.830000
International imports in goods and services,Australia,2011,Percentage,Units,21.729518
International imports in goods and services,Australia,2012,Percentage,Units,21.252263
International imports in goods and services,Australia,2013,Percentage,Units,21.467035
International imports in goods and services,Australia,2014,Percentage,Units,21.512295
International imports in goods and services,Australia,2015,Percentage,Units,21.505627
International exports in goods and services,Australia,2011,Percentage,Units,21.480828
International exports in goods and services,Australia,2012,Percentage,Units,19.956168
International exports in goods and services,Australia,2013,Percentage,Units,21.039455
International exports in goods and services,Australia,2014,Percentage,Units,19.987417
International exports in goods and services,Australia,2015,Percentage,Units,19.233224
Imports of goods,Australia,2014,US Dollar,Billions,227.544230
Trade balance of goods,Australia,2014,US Dollar,Billions,12.900453
Exports of goods,Australia,2014,US Dollar,Billions,240.444680
Trade balance of services,Australia,2011,US Dollar,Billions,-11.429150
Trade balance of services,Australia,2012,US Dollar,Billions,-15.626860
Trade balance of services,Australia,2013,US Dollar,Billions,-17.717010
Trade balance of services,Australia,2014,US Dollar,Billions,-11.949230
Trade balance of services,Australia,2015,US Dollar,Billions,-8.830246
Imports of services,Australia,2011,US Dollar,Billions,69.536540
Imports of services,Australia,2012,US Dollar,Billions,74.178660
Imports of services,Australia,2013,US Dollar,Billions,75.595900
Imports of services,Australia,2014,US Dollar,Billions,71.025660
Imports of services,Australia,2015,US Dollar,Billions,63.714970
Exports of services,Australia,2011,US Dollar,Billions,58.107390
Exports of services,Australia,2012,US Dollar,Billions,58.551810
Exports of services,Australia,2013,US Dollar,Billions,57.878890
Exports of services,Australia,2014,US Dollar,Billions,59.076430
Exports of services,Australia,2015,US Dollar,Billions,54.884730
Outflows of foreign direct investment,Australia,2011,US Dollar,Millions,1716.348600
Outflows of foreign direct investment,Australia,2012,US Dollar,Millions,6737.060000
Outflows of foreign direct investment,Australia,2013,US Dollar,Millions,1579.506000
Outflows of foreign direct investment,Australia,2014,US Dollar,Millions,2113.755200
Inflows of foreign direct investment,Australia,2011,US Dollar,Millions,58905.621000
Inflows of foreign direct investment,Australia,2012,US Dollar,Millions,58969.979000
Inflows of foreign direct investment,Australia,2013,US Dollar,Millions,56946.160000
Inflows of foreign direct investment,Australia,2014,US Dollar,Millions,47742.023000
Current account balance,Australia,2011,Percentage,Units,-3.081395
Current account balance,Australia,2012,Percentage,Units,-4.296699
Current account balance,Australia,2013,Percentage,Units,-3.383400
Current account balance,Australia,2014,Percentage,Units,-3.069917
Current account balance,Australia,2015,Percentage,Units,-4.646523
Long-term interest rates,Australia,2011,Percentage,Units,4.879583
Long-term interest rates,Australia,2012,Percentage,Units,3.379167
Long-term interest rates,Australia,2013,Percentage,Units,3.697292
Long-term interest rates,Australia,2014,Percentage,Units,3.656667
Long-term interest rates,Australia,2015,Percentage,Units,2.710833
Real effective exchange rates,Australia,2011,Index,Units,119.228410
Real effective exchange rates,Australia,2012,Index,Units,120.773480
Real effective exchange rates,Australia,2013,Index,Units,114.595400
Real effective exchange rates,Australia,2014,Index,Units,109.340450
Real effective exchange rates,Australia,2015,Index,Units,100.000000
Total primary energy supply,Australia,2011,Tonnes of oil equivalent (toe),Millions,128.220000
Total primary energy supply,Australia,2012,Tonnes of oil equivalent (toe),Millions,126.630000
Total primary energy supply,Australia,2013,Tonnes of oil equivalent (toe),Millions,126.310000
Total primary energy supply,Australia,2014,Tonnes of oil equivalent (toe),Millions,124.950000
Total primary energy supply,Australia,2015,Tonnes of oil equivalent (toe),Millions,125.130000
Total primary energy supply per unit of GDP,Australia,2011,Tonnes of oil equivalent (toe),Units,0.131000
Total primary energy supply per unit of GDP,Australia,2012,Tonnes of oil equivalent (toe),Units,0.126000
Total primary energy supply per unit of GDP,Australia,2013,Tonnes of oil equivalent (toe),Units,0.123000
Total primary energy supply per unit of GDP,Australia,2014,Tonnes of oil equivalent (toe),Units,0.119000
