"Provider_Number","HOSPITAL","ADDRESS","CITY","STATE",ZIP,"COUNTY","Readmit_2015","Readmit_2016","Readmit_2017","Readmit_2018","Readmit_2019","Readmit_2020"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","WETUMPKA","AL",36092,"ELMORE","0.18","0.12","0.05","0.02","No Penalty","No Penalty"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","AL",36426,"ESCAMBIA","0.85","0.39","0.33","0.32","0.11","0.03"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","AL",36532,"BALDWIN","0.34","0.33","0.16","1.23","1.31","3.00"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","AL",35161,"TALLADEGA","0.21","0.18","0.36","0.11","0.27","0.32"
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","CAMDEN","AL",36726,"WILCOX","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"010103","PRINCETON BAPTIST MEDICAL CENTER","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL",35211,"JEFFERSON","No Penalty","0.24","0.62","0.85","0.54","0.39"
"010104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","BIRMINGHAM","AL",35243,"JEFFERSON","0.50","0.52","0.93","0.89","2.82","3.00"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AL",36067,"AUTAUGA","1.43","0.98","0.53","0.09","0.07","0.02"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON DRIVE","CARROLLTON","AL",35447,"PICKENS","0.45","0.42","0.50","No Penalty","No Penalty","0.01"
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","UNION SPRINGS","AL",36089,"BULLOCK","No Penalty","0.19","0.31","0.22","No Penalty","No Penalty"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","105 HIGHWAY 80 EAST","DEMOPOLIS","AL",36732,"MARENGO","0.20","0.37","0.58","0.39","0.08","0.30"
"010113","MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL",36652,"MOBILE","0.98","1.00","0.92","0.49","0.58","0.45"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL",35021,"JEFFERSON","0.40","0.30","0.02","0.21","0.14","0.12"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL",36701,"DALLAS","0.96","1.03","0.78","1.11","0.35","0.50"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","MONROEVILLE","AL",36460,"MONROE","No Penalty","0.46","1.73","1.28","0.18","0.23"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E","HALEYVILLE","AL",35565,"WINSTON","0.21","0.12","No Penalty","No Penalty","No Penalty","No Penalty"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","AL",36081,"PIKE","0.57","0.92","0.72","0.63","0.54","0.42"
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","JACKSON","AL",36545,"CLARKE","0.13","0.01","0.01","0.02","0.30","0.67"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL",36507,"BALDWIN","0.11","0.21","0.28","0.64","1.70","0.88"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","PELL CITY","AL",35125,"ST. CLAIR","1.93","1.30","2.92","1.24","No Penalty","0.13"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL",35801,"MADISON","0.80","0.35","0.67","2.69","3.00","3.00"
"010138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","YORK","AL",36925,"SUMTER","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"010139","BROOKWOOD BAPTIST MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL",35209,"JEFFERSON","0.35","0.62","1.26","1.48","1.31","1.17"
"010144","SPRINGHILL MEMORIAL HOSPITAL","3719 DAUPHIN STREET","MOBILE","AL",36608,"MOBILE","0.85","0.89","0.92","0.72","0.77","0.98"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","EVERGREEN","AL",36401,"CONECUH","2.12","0.78","0.78","0.44","1.40","1.52"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","AL",36117,"MONTGOMERY","0.39","0.30","0.05","0.01","0.03","0.07"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","AL",36037,"BUTLER","No Penalty","No Penalty","0.16","0.16","0.39","0.32"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","AL",35661,"COLBERT","0.38","0.41","1.08","0.37","1.01","0.35"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","AL",35653,"FRANKLIN","1.45","1.52","2.46","1.27","0.09","0.04"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","AL",35150,"TALLADEGA","0.13","0.53","1.02","1.45","0.32","0.21"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","AL",36867,"RUSSELL","0.03","0.03","No Penalty","No Penalty","0.02","No Penalty"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","ATMORE","AL",36502,"ESCAMBIA","0.80","0.25","0.17","0.24","No Penalty","0.10"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","3200 PROVIDENCE DRIVE","ANCHORAGE","AK",99508,"ANCHORAGE","No Penalty","0.12","No Penalty","No Penalty","No Penalty","No Penalty"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","AK",99645,"MATANUSKA-SUSITNA","0.92","0.48","0.92","0.38","0.31","0.67"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","AK",99801,"JUNEAU","1.27","0.45","0.04","0.11","No Penalty","No Penalty"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","AK",99701,"FAIRBANKS NORTH STAR","0.07","0.13","0.08","No Penalty","No Penalty","No Penalty"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","AK",99508,"ANCHORAGE","No Penalty","0.57","1.19","0.06","0.05","0.09"
"020018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","BETHEL","AK",99559,"BETHEL","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","AK",99669,"KENAI PENINSULA","1.41","1.02","1.28","3.00","2.37","1.41"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","AK",99508,"ANCHORAGE","0.49","0.34","0.23","0.09","0.12","0.08"
"030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD","PHOENIX","AZ",85006,"MARICOPA","0.20","0.07","0.04","0.09","0.18","0.14"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","AZ",85712,"PIMA","0.14","No Penalty","0.20","0.44","0.39","0.06"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","AZ",86326,"YAVAPAI","No Penalty","0.22","0.10","0.32","No Penalty","No Penalty"
"030010","ST. MARY'S HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","AZ",85745,"PIMA","No Penalty","No Penalty","0.09","0.04","0.12","0.37"
"030011","ST JOSEPH'S HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","AZ",85711,"PIMA","0.18","0.25","0.05","0.02","0.02","0.09"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","AZ",86301,"YAVAPAI","0.07","0.10","0.48","0.96","1.51","1.32"
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","AZ",85364,"YUMA","0.65","0.59","1.69","0.93","0.87","0.11"
"030014","JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","PHOENIX","AZ",85020,"MARICOPA","0.46","0.58","0.16","0.09","0.43","0.66"
"030016","BANNER CASA GRANDE MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","AZ",85122,"PINAL","1.63","0.77","0.48","0.22","0.72","0.87"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","AZ",85008,"MARICOPA","No Penalty","0.03","0.04","No Penalty","No Penalty","No Penalty"
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","AZ",86001,"COCONINO","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"030024","ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","AZ",85013,"MARICOPA","0.03","0.01","0.10","0.13","0.09","0.13"
"030030","ABRAZO CENTRAL CAMPUS","2000 WEST BETHANY HOME ROAD","PHOENIX","AZ",85015,"MARICOPA","0.12","0.05","0.14","0.19","0.09","0.01"
"030036","CHANDLER REGIONAL MEDICAL CENTER","1955 WEST FRYE ROAD","CHANDLER","AZ",85224,"MARICOPA","0.21","No Penalty","0.01","0.06","0.18","0.14"
"030037","ST LUKE'S MEDICAL CENTER","1800 EAST VAN BUREN STREET","PHOENIX","AZ",85006,"MARICOPA","0.01","0.13","0.02","0.14","0.02","0.29"
"030038","SCOTTSDALE OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","AZ",85251,"MARICOPA","No Penalty","0.46","0.47","0.17","0.12","0.03"
"030043","CANYON VISTA MEDICAL CENTER","5700 EAST HIGHWAY 90","SIERRA VISTA","AZ",85635,"COCHISE","0.93","0.67","0.66","1.84","3.00","3.00"
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","AZ",86409,"MOHAVE","0.32","0.79","2.07","2.22","2.30","2.26"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","AZ",85351,"MARICOPA","0.20","0.22","0.03","No Penalty","No Penalty","No Penalty"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 EAST SHOW LOW LAKE ROAD","SHOW LOW","AZ",85901,"NAVAJO","0.18","No Penalty","No Penalty","No Penalty","0.19","0.42"
"030064","BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1501 NORTH CAMPBELL AVENUE","TUCSON","AZ",85724,"PIMA","0.43","0.26","0.23","0.31","0.16","0.08"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ",85202,"MARICOPA","0.60","0.31","0.60","0.48","0.40","0.38"
"030068","MT. GRAHAM REGIONAL MEDICAL CENTER","1600 SOUTH 20TH AVENUE","SAFFORD","AZ",85546,"GRAHAM","1.16","2.23","0.49","No Penalty","No Penalty","0.87"
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ",86403,"MOHAVE","0.03","0.11","1.23","0.69","1.48","1.47"
"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ",86504,"APACHE","0.14","0.90","0.78","0.95","No Penalty","0.04"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ",86045,"COCONINO","1.23","1.30","0.60","0.86","1.01","0.92"
"030074","SELLS HOSPITAL","HIGHWAY 86, AT TOPAWA ROAD","SELLS","AZ",85634,"PIMA","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"030077","SAN CARLOS APACHE HEALTHCARE","103 MEDICINE WAY ROAD","PERIDOT","AZ",85542,"GILA","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ",85016,"MARICOPA","0.03","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"030083","ABRAZO SCOTTSDALE CAMPUS","3929 EAST BELL ROAD","PHOENIX","AZ",85032,"MARICOPA","0.17","0.19","0.69","0.25","0.16","0.13"
"030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","CHINLE","AZ",86503,"APACHE","0.11","0.42","0.89","0.23","No Penalty","0.11"
"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ",85741,"PIMA","0.09","0.07","0.38","2.69","2.91","2.79"
"030087","SCOTTSDALE SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ",85260,"MARICOPA","No Penalty","0.09","0.04","0.88","0.88","0.29"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ",85206,"MARICOPA","0.40","0.27","0.51","0.90","0.58","No Penalty"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ",85306,"MARICOPA","0.86","0.36","0.27","0.32","0.15","0.03"
"030092","HONORHEALTH DEER VALLEY MEDICAL CENTER","19829 NORTH 27TH AVENUE","PHOENIX","AZ",85027,"MARICOPA","0.25","0.39","0.43","0.68","0.65","0.74"
"030093","BANNER DEL E. WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ",85375,"MARICOPA","0.72","0.93","1.18","0.01","No Penalty","No Penalty"
"030094","ABRAZO ARROWHEAD CAMPUS","18701 NORTH 67TH AVENUE","GLENDALE","AZ",85308,"MARICOPA","0.12","0.02","0.03","0.27","0.09","0.68"
"030101","WESTERN ARIZONA REGIONAL MEDICAL CENTER","2735 SILVER CREEK ROAD","BULLHEAD CITY","AZ",86442,"MOHAVE","0.92","1.27","1.67","0.98","0.75","0.47"
"030103","MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD","PHOENIX","AZ",85054,"MARICOPA","0.04","0.03","No Penalty","0.04","0.01","0.21"
"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","MESA","AZ",85206,"MARICOPA","0.02","0.01","No Penalty","0.03","0.03","0.90"
"030107","ARIZONA SPINE AND JOINT HOSPITAL","4620 EAST BASELINE ROAD","MESA","AZ",85206,"MARICOPA","3.00","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"030108","CORE INSTITUTE SPECIALTY HOSPITAL, THE","6501 NORTH 19TH AVENUE","PHOENIX","AZ",85015,"MARICOPA","0.54","0.45","1.54","No Penalty","No Penalty","No Penalty"
"030110","ABRAZO WEST CAMPUS","13677 WEST MCDOWELL ROAD","GOODYEAR","AZ",85395,"MARICOPA","0.51","0.30","0.78","0.59","0.63","0.43"
"030111","BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","2800 EAST AJO WAY","TUCSON","AZ",85713,"PIMA","0.01","0.04","0.22","0.07","0.02","0.01"
"030112","ARIZONA SPECIALTY HOSPITAL","2905 WEST WARNER ROAD, SUITE 1","CHANDLER","AZ",85224,"MARICOPA","3.00","3.00","3.00","3.00","3.00","3.00"
"030113","WHITERIVER PHS INDIAN HOSPITAL","200 WEST HOSPITAL DRIVE  (PO BOX 860)","WHITERIVER","AZ",85941,"NAVAJO","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","ORO VALLEY","AZ",85755,"PIMA","0.34","0.12","No Penalty","0.07","0.22","0.30"
"030115","BANNER ESTRELLA MEDICAL CENTER","9201 WEST THOMAS ROAD","PHOENIX","AZ",85037,"MARICOPA","0.93","0.34","0.24","0.42","0.33","0.35"
"030117","VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95","FORT MOHAVE","AZ",86426,"MOHAVE","2.53","1.76","0.66","0.30","0.50","0.19"
"030119","MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE","GILBERT","AZ",85297,"MARICOPA","0.28","0.25","0.66","0.17","0.26","0.09"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","MESA","AZ",85209,"MARICOPA","1.30","1.36","0.96","0.78","0.15","0.25"
"030122","BANNER GATEWAY MEDICAL CENTER","1900 NORTH HIGLEY ROAD","GILBERT","AZ",85234,"MARICOPA","0.11","0.65","0.46","0.46","0.15","0.06"
"030123","SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","7400 EAST THOMPSON PEAK PARKWAY","SCOTTSDALE","AZ",85255,"MARICOPA","No Penalty","0.09","No Penalty","0.01","0.04","0.14"
"030130","BANNER IRONWOOD MEDICAL CENTER","37000 NORTH GANTZEL ROAD","QUEEN CREEK","AZ",85140,"PINAL","No Penalty","No Penalty","0.36","0.90","0.57","0.09"
"030131","O.A.S.I.S. HOSPITAL","750 NORTH 40TH STREET","PHOENIX","AZ",85008,"MARICOPA","No Penalty","No Penalty","No Penalty","2.48","2.18","No Penalty"
"030134","BANNER GOLDFIELD MEDICAL CENTER","2050 WEST SOUTHERN AVENUE","APACHE JUNCTION","AZ",85120,"PINAL","No Penalty","No Penalty","0.33","No Penalty","No Penalty","No Penalty"
"040001","SILOAM SPRINGS REGIONAL HOSPITAL","603 NORTH PROGRESS AVENUE","SILOAM SPRINGS","AR",72761,"BENTON","0.36","0.37","0.44","1.11","1.01","0.32"
"040002","JOHNSON REGIONAL MEDICAL CENTER","1100 EAST POPLAR STREET","CLARKSVILLE","AR",72830,"JOHNSON","0.59","0.26","0.37","0.57","0.29","0.95"
"040004","WASHINGTON REGIONAL MEDICAL CENTER","3215 N NORTH HILLS BOULEVARD","FAYETTEVILLE","AR",72703,"WASHINGTON","No Penalty","No Penalty","0.06","0.07","0.05","0.02"
"040007","CHI-ST VINCENT INFIRMARY","TWO ST VINCENT CIRCLE","LITTLE ROCK","AR",72205,"PULASKI","0.63","0.17","0.21","0.21","0.67","0.60"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","2710 SOUTH RIFE MEDICAL LANE","ROGERS","AR",72758,"BENTON","No Penalty","0.47","0.49","0.72","0.73","0.25"
"040011","CHAMBERS MEMORIAL HOSPITAL","719 DETROIT STREET","DANVILLE","AR",72833,"YELL","1.83","2.03","3.00","2.94","2.97","2.58"
