SUB,Subject,LOCATION,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NURSE_G1, Practising nurses,AUS,Australia,2013,2013,1000HAB,Per 1 000 inhabitants,0,Units,,,11.37,,
NURSE_G1, Practising nurses,AUS,Australia,2014,2014,1000HAB,Per 1 000 inhabitants,0,Units,,,11.35,E,Estimated value
NURSE_G1, Practising nurses,AUS,Australia,2015,2015,1000HAB,Per 1 000 inhabitants,0,Units,,,11.45,E,Estimated value
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2011,2011,TONNE,Tonnes,3,Thousands,,,2507.885,,
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2012,2012,TONNE,Tonnes,3,Thousands,,,2519.09,,
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2013,2013,TONNE,Tonnes,3,Thousands,,,2414.111,,
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2014,2014,TONNE,Tonnes,3,Thousands,,,2499.432,,
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2015,2015,TONNE,Tonnes,3,Thousands,,,2385.877,,
EDUTEREXPND_T1A,Annual expenditure per student in short cycle tertiary education,AUS,Australia,2012,2012,USD,US Dollar,0,Units,2010,2010,8266.7308,,
AGEDPOPGEO_G1,Elderly population,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,14.7,,
TIVA_T1,Foreign value added as a share of gross exports,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,14.1,,
TERTIARY_T1A,Population aged 25-34 below upper secondary,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,13.280849,,
TERTIARY_T1B,Population aged 25-34 below upper secondary,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,38.587761,,
AGEDPOPGEO_G2A,Regional elderly population: Maximum,AUS,Australia,2014,2014,AVGRW,Average growth rate,0,Units,,,4.6,,
AGEDPOPGEO_G2B,Regional elderly population: Country average,AUS,Australia,2014,2014,AVGRW,Average growth rate,0,Units,,,1.2,,
AGEDPOPGEO_G2C,Regional elderly population: Minimum,AUS,Australia,2014,2014,AVGRW,Average growth rate,0,Units,,,0.7,,
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2011,2011,TONNE,Tonnes,3,Thousands,,,13462.519,,
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2012,2012,TONNE,Tonnes,3,Thousands,,,13344.891,,
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2013,2013,TONNE,Tonnes,3,Thousands,,,13227.263,,
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2014,2014,TONNE,Tonnes,3,Thousands,,,13109.635,,
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2015,2015,TONNE,Tonnes,3,Thousands,,,13344.539,,
ODA_T1B,Net official development assistance; as a percentage of gross national income,AUS,Australia,2011,2011,USD,US Dollar,6,Millions,,,4982.91,,
ODA_T1B,Net official development assistance; as a percentage of gross national income,AUS,Australia,2012,2012,USD,US Dollar,6,Millions,,,5402.7,,
ODA_T1B,Net official development assistance; as a percentage of gross national income,AUS,Australia,2013,2013,USD,US Dollar,6,Millions,,,4845.55,,
ODA_T1B,Net official development assistance; as a percentage of gross national income,AUS,Australia,2014,2014,USD,US Dollar,6,Millions,,,4382.42,,
EDUTEREXPND_T1B,Annual expenditure per student in Bachelorâ€™s; masterâ€™s; doctoral or equivalent level,AUS,Australia,2012,2012,USD,US Dollar,0,Units,2010,2010,18795.097,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2011,2011,TONNE,Tonnes,3,Thousands,,,2460.238,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2012,2012,TONNE,Tonnes,3,Thousands,,,2646.795,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2013,2013,TONNE,Tonnes,3,Thousands,,,2741.858,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2014,2014,TONNE,Tonnes,3,Thousands,,,2780.269,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2015,2015,TONNE,Tonnes,3,Thousands,,,2867.08,,
DOCTOR_G2A, General practitioners as a percentage of total physicians,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,45.01,,
DOCTOR_G2B, Specialists as a percentage of total physicians,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,47.31,,
PISA_T1J,Standard error on the reading scale in PISA 2012: men,AUS,Australia,2012,2012,SE,Standard-error,0,Units,,,2.2931393,,
TEACHERS_T1B,Teachers'starting salary,AUS,Australia,2013,2013,USD,US Dollar,0,Units,,,39176.805,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2011,2011,PC_PNT,Percentage points,0,Units,,,-10.805182,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2012,2012,PC_PNT,Percentage points,0,Units,,,-14.833195,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2013,2013,PC_PNT,Percentage points,0,Units,,,-9.912189,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2014,2014,PC_PNT,Percentage points,0,Units,,,-13.282134,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2015,2015,PC_PNT,Percentage points,0,Units,,,-16.489749,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2011,2011,PC_PNT,Percentage points,0,Units,,,15.063404,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2012,2012,PC_PNT,Percentage points,0,Units,,,12.032785,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2013,2013,PC_PNT,Percentage points,0,Units,,,10.350473,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2014,2014,PC_PNT,Percentage points,0,Units,,,9.359528,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2015,2015,PC_PNT,Percentage points,0,Units,,,6.519676,,
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2011,2011,PC_PNT,Percentage points,0,Units,,,-22.482027,,
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2012,2012,PC_PNT,Percentage points,0,Units,,,-23.980462,,
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2013,2013,PC_PNT,Percentage points,0,Units,,,-18.362098,,
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2014,2014,PC_PNT,Percentage points,0,Units,,,-20.703877,,
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2015,2015,PC_PNT,Percentage points,0,Units,,,-21.601103,,
PISA_T1K,Mean scores on the reading scale in PISA 2012: women,AUS,Australia,2012,2012,AVSCORE,Average score,0,Units,,,529.54228,,
TEACHERS_T1C,Teachersâ€™salary after 10 years of experience,AUS,Australia,2013,2013,USD,US Dollar,0,Units,,,56334.507,,
DOCTOR_G3, Medical graduates,AUS,Australia,2011,2011,100000HAB,Per 100 000 inhabitants,0,Units,,,13.48,,
DOCTOR_G3, Medical graduates,AUS,Australia,2012,2012,100000HAB,Per 100 000 inhabitants,0,Units,,,13.98,,
DOCTOR_G3, Medical graduates,AUS,Australia,2013,2013,100000HAB,Per 100 000 inhabitants,0,Units,,,15.44,,
DOCTOR_G3, Medical graduates,AUS,Australia,2014,2014,100000HAB,Per 100 000 inhabitants,0,Units,,,15.3,,
DOCTOR_G3, Medical graduates,AUS,Australia,2015,2015,100000HAB,Per 100 000 inhabitants,0,Units,,,15.73,,
NURSE_G3, Nursing graduates,AUS,Australia,2011,2011,100000HAB,Per 100 000 inhabitants,0,Units,,,71.64,,
NURSE_G3, Nursing graduates,AUS,Australia,2012,2012,100000HAB,Per 100 000 inhabitants,0,Units,,,71.65,,
NURSE_G3, Nursing graduates,AUS,Australia,2013,2013,100000HAB,Per 100 000 inhabitants,0,Units,,,74.76,,
NURSE_G3, Nursing graduates,AUS,Australia,2014,2014,100000HAB,Per 100 000 inhabitants,0,Units,,,75.75,,
NURSE_G3, Nursing graduates,AUS,Australia,2015,2015,100000HAB,Per 100 000 inhabitants,0,Units,,,76.69,,
EDUTEREXPND_T1C,Annual expenditure per student in all tertiary education,AUS,Australia,2012,2012,USD,US Dollar,0,Units,2010,2010,16858.51,,
AGEDPOPGEO_G3A,Elderly dependency rate in urban regions,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,20.2,,
AGEDPOPGEO_G3B,Elderly dependency rate,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,22.1,,
AGEDPOPGEO_G3C,Elderly dependency rate in rural regions,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,28.2,,
TERTIARY_T1C,Population aged 25-34 in upper secondary or post-secondary non-tertiary,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,48.13139,,
TERTIARY_T1D,Population aged 25-64 below upper secondary,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,22.895836,,
EDUTEREXPND_T1D,Annual expenditure per student in all tertiary education excluding R&D activities,AUS,Australia,2012,2012,USD,US Dollar,0,Units,2010,2010,10455.076,,
TEACHERS_T1D,Teachersâ€™salary after 15 years of experience,AUS,Australia,2013,2013,USD,US Dollar,0,Units,,,56334.507,,
PISA_T1L,Standard error on the reading scale in PISA 2012: women,AUS,Australia,2012,2012,SE,Standard-error,0,Units,,,1.9674035,,
PISA_T1A,Mean scores on the science scale in PISA 2012: men,AUS,Australia,2012,2012,AVSCORE,Average score,0,Units,,,523.72821,,
TEACHERS_T1E,Teachersâ€™salary at top of scale,AUS,Australia,2013,2013,USD,US Dollar,0,Units,,,56520.872,,
EDUTEREXPND_T1E,Change in expenditure in tertiary education,AUS,Australia,2012,2012,IDX,Index,0,Units,2005_100,2005=100,132.58812,,
TERTIARY_T1E,Population aged 25-64 below upper secondary,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,35.202309,,
TERTIARY_T1F,Population aged 25-64 in upper secondary or post-secondary non-tertiary,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,41.901855,,
EDUTEREXPND_T1F,Change in the number of students in tertiary education,AUS,Australia,2012,2012,IDX,Index,0,Units,2005_100,2005=100,132.83834,,
PISA_T1B,Standard error on the science scale in PISA 2012: men,AUS,Australia,2012,2012,SE,Standard-error,0,Units,,,2.5082154,,
PISA_T1C,Mean scores on the science scale in PISA 2012: women,AUS,Australia,2012,2012,AVSCORE,Average score,0,Units,,,519.12447,,
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2011,2011,PER,Persons,3,Thousands,,,219478,,
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2012,2012,PER,Persons,3,Thousands,,,245080,,
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2013,2013,PER,Persons,3,Thousands,,,254411,,
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2014,2014,PER,Persons,3,Thousands,,,231042,,
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2015,2015,PER,Persons,3,Thousands,,,226218,,
EXEDULV_T1H,Public expenditure per student in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,82.405714,,
PISA_T1D,Standard error on the science scale in PISA 2012: women,AUS,Australia,2012,2012,SE,Standard-error,0,Units,,,2.0973717,,
PISA_T1E,Mean scores on the mathematics scale in PISA 2012: men,AUS,Australia,2012,2012,AVSCORE,Average score,0,Units,,,510.11485,,
PISA_T1F,Standard error on the mathematics scale in PISA 2012: men,AUS,Australia,2012,2012,SE,Standard-error,0,Units,,,2.4053599,,
EVOPOP_T1,Population levels,AUS,Australia,2011,2011,HAB,Inhabitants,3,Thousands,,,22340,,
EVOPOP_T1,Population levels,AUS,Australia,2012,2012,HAB,Inhabitants,3,Thousands,,,22728,,
EVOPOP_T1,Population levels,AUS,Australia,2013,2013,HAB,Inhabitants,3,Thousands,,,23126,,
EVOPOP_T1,Population levels,AUS,Australia,2014,2014,HAB,Inhabitants,3,Thousands,,,23491,,
PISA_T1H,Standard error on the mathematics scale in PISA 2012: women,AUS,Australia,2012,2012,AVSCORE,Average score,0,Units,,,2.0407752,,
MIGFORPOP_T1A,Foreign-born population,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,26.94,,
MIGFORPOP_T1A,Foreign-born population,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,27.327,,
MIGFORPOP_T1A,Foreign-born population,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,27.713,,
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2011,2011,PER,Persons,3,Thousands,,,57544.85,,
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2012,2012,PER,Persons,3,Thousands,,,66021.375,,
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2013,2013,PER,Persons,3,Thousands,,,65905.203,,
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2014,2014,PER,Persons,3,Thousands,,,66974.55,,
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2015,2015,PER,Persons,3,Thousands,,,68231.316,,
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2011,2011,PER,Persons,3,Thousands,,,13976,,
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2012,2012,PER,Persons,3,Thousands,,,13759,,
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2013,2013,PER,Persons,3,Thousands,,,20019,,
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2014,2014,PER,Persons,3,Thousands,,,13768,,
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2015,2015,PER,Persons,3,Thousands,,,13756,,
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2011,2011,PER,Persons,3,Thousands,,,54708,,
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2012,2012,PER,Persons,3,Thousands,,,58604,,
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2013,2013,PER,Persons,3,Thousands,,,60185,,
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2014,2014,PER,Persons,3,Thousands,,,61112,,
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2015,2015,PER,Persons,3,Thousands,,,61085,,
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2011,2011,PER,Persons,3,Thousands,,,34567,,
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2012,2012,PER,Persons,3,Thousands,,,44304,,
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2013,2013,PER,Persons,3,Thousands,,,41230,,
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2014,2014,PER,Persons,3,Thousands,,,27274,,
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2015,2015,PER,Persons,3,Thousands,,,23365,,
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2011,2011,PER,Persons,3,Thousands,,,56180.15,,
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2012,2012,PER,Persons,3,Thousands,,,59733.625,,
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2013,2013,PER,Persons,3,Thousands,,,63067.797,,
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2014,2014,PER,Persons,3,Thousands,,,61575.45,,
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2015,2015,PER,Persons,3,Thousands,,,59542.684,,
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2011,2011,PER,Persons,3,Thousands,,,2502,,
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2012,2012,PER,Persons,3,Thousands,,,2658,,
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2013,2013,PER,Persons,3,Thousands,,,4004,,
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2014,2014,PER,Persons,3,Thousands,,,338,,
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2015,2015,PER,Persons,3,Thousands,,,238,,
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,77.4,,
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,77.1,,
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,77,,
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,76.5,,
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,77.2,,
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,73.1,,
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,72.9,,
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,72.7,,
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,72.7,,
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,73,,
MIGUNEMP_T1A,Unemployment rates of native-born populations: Men,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,5.44,,
MIGUNEMP_T1A,Unemployment rates of native-born populations: Men,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,6.3,,
MIGUNEMP_T1B,Unemployment rates of foreign-born populations: Men,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,4.903,,
MIGUNEMP_T1B,Unemployment rates of foreign-born populations: Men,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,5.6,,
MIGUNEMP_T1C,Unemployment rates of native-born populations: Women,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,5.226,,
MIGUNEMP_T1C,Unemployment rates of native-born populations: Women,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,6.1,,
MIGUNEMP_T1D,Unemployment rates of foreign-born populations: Women,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,5.996,,
MIGUNEMP_T1D,Unemployment rates of foreign-born populations: Women,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,6.6,,
MIGUNEMP_T1E,Unemployment rates of native-born populations: Total,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,5.34,,
MIGUNEMP_T1E,Unemployment rates of native-born populations: Total,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,6.2,,
MIGUNEMP_T1F,Unemployment rates of foreign-born populations: Total,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,5.392,,
MIGUNEMP_T1F,Unemployment rates of foreign-born populations: Total,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,6.1,,
EVOGDP_T1,Real GDP growth,AUS,Australia,2011,2011,GRWH,Growth rate,0,Units,,,3.9009,,
EVOGDP_T1,Real GDP growth,AUS,Australia,2012,2012,GRWH,Growth rate,0,Units,,,2.6157225,,
EVOGDP_T1,Real GDP growth,AUS,Australia,2013,2013,GRWH,Growth rate,0,Units,,,2.568707,,
EVOGDP_T1,Real GDP growth,AUS,Australia,2014,2014,GRWH,Growth rate,0,Units,,,2.3360755,,
EVOGDP_T1,Real GDP growth,AUS,Australia,2015,2015,GRWH,Growth rate,0,Units,,,2.846755,,
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2011,2011,GRWH,Growth rate,0,Units,,,11.536487,,
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2012,2012,GRWH,Growth rate,0,Units,,,3.003741,,
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2013,2013,GRWH,Growth rate,0,Units,,,-1.761188,,
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2014,2014,GRWH,Growth rate,0,Units,,,-3.163672,,
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2015,2015,GRWH,Growth rate,0,Units,,,-3.43695,,
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,2.4032744,,
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,2.4312519,,
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,2.3706235,,
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,2.5432351,,
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,2.5677243,,
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,19.731673,,
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,18.238799,,
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,18.620907,,
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,16.603504,,
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,15.485994,,
VALADDAC_T1C,Value added in construction,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,8.2839004,,
VALADDAC_T1C,Value added in construction,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,8.5689981,,
VALADDAC_T1C,Value added in construction,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,8.6714752,,
VALADDAC_T1C,Value added in construction,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,8.7247339,,
VALADDAC_T1C,Value added in construction,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,8.5290373,,
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,16.857894,,
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,17.048832,,
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,16.477931,,
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,16.652657,,
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,16.850444,,
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,2.9950476,,
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,2.9408905,,
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,2.8789822,,
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,2.8855924,,
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,2.8417399,,
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,8.342829,,
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,8.5262909,,
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,8.5975334,,
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,9.1332667,,
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2015,2015,PC,Percentage,0,Units,,,9.4940124,,
VALADDAC_T1G,Value added in real estate activities,AUS,Australia,2011,2011,PC,Percentage,0,Units,,,11.321172,,
VALADDAC_T1G,Value added in real estate activities,AUS,Australia,2012,2012,PC,Percentage,0,Units,,,11.783214,,
